Ablennes hians
Synodus evermanni
Synodus lacertinus
Synodus scituliceps
Synodus sechurae
Taaningichthys paurolychnus
Taenianotus triacanthus
Talismania bifurcata
Taractes rubescens
Tetrapturus angustirostris
Thalassoma grammaticum
Thalassoma lucasanum
Thalassoma lutescens
Thalassoma purpureum
Thermichthys hollisi
Thunnus alalunga
Thunnus albacares
Thunnus obesus
Thysanactis dentex
Tigrigobius nesiotes
Tomicodon boehlkei
Tomicodon chilensis
Tomicodon petersii
Tomicodon prodomus
Trachinotus blochii
Trachinotus kennedyi
Trachinotus paitensis
Trachinotus rhodopus
Trachinotus stilbe
Trachurus murphyi
Trachyrincus helolepis
Trichiurus lepturus
Trinectes fluviatilis
Trinectes fonsecensis
Trinectes opercularis
Triphoturus mexicanus
Tylosurus pacificus
Umbrina broussonnetii
Umbrina dorsalis
Umbrina galapagorum
Uraspis helvola
Uropterygius macrocephalus
Uropterygius polystictus
Uropterygius versutus
Venefica procera
Venefica tentaculata
Vinciguerria nimbaria
Xanthichthys caeruleolineatus
Xanthichthys mento
Xenichthys agassizii
Xenichthys xanti
Xenistius californiensis
Xenocys jessiae
Xenomugil thoburni
Xenomystax atrarius
Xiphias gladius
Xyrichtys novacula
Xyrichtys victori
Yarrella argenteola
Zalieutes elater
Zanclus cornutus
