Tanypenaeus caribaeus
Tanystylum malpelensis
Taraxapseudes diversus
Teleophrys cristulipes
Teleophrys ruber
Temora stylifera
Temora turbinata
Tetraplax quadridentata
Thoe puella
Thor amboinensis
Thor manningi
Tomopagurus chacei
Tomopagurus cubensis
Tomopagurus wassi
Tozeuma carolinense
Tozeuma serratum
Trachycaris restricta
Trachypenaeopsis mobilispinis
Trapezia bidentata
Trapezia digitalis
Trichopeltarion nobile
Triconia minuta
Trizocarcinus dentatus
Typton serratus
Undinula vulgaris
Unicolax mycterobius
Upogebia affinis
Upogebia omissa
Urocorycaeus lautus
Uromunna samariensis
Uroptychus lindae
Vanhoeffenura pulchra
Venezillo brevispinis
Xenanthura conchae
Xiphopenaeus kroyeri
Xylopagurus anthonii
Xylopagurus tayrona
Zabythocypris helicina
